Text,unvollständig Goldstandard,unvollständig Goldstandard LL,Alina,Alina LL,Svenja,Svenja LL,dictionary anno
"Ich komme gleich,",0,0,0,0,0,0,0
"sagte Gregor langsam und  bedächtig,",0,0,1,3,1,3,3
"und rührte sich nicht, um kein Wort der Gespräche zu verlieren,",0,0,0,0,0,0,0
"Anders, gnädige Frau, kann ich  es mir auch nicht erklären,",0,0,0,0,0,0,0
"sagte der Prokurist,",0,0,1,3,1,3,3
"hoffentlich ist es nichts Ernstes,",0,0,0,0,0,0,0
"Wenn ich auch  andererseits sagen muß,",0,0,0,0,0,0,0
"daß wir Geschäftsleute ein leichtes  Unwohlsein sehr oft aus geschäftlichen Rücksichten einfach überwinden müssen,",0,0,0,0,0,0,0
"wie man will,",0,0,0,0,0,0,0
"leider oder glücklicherweise,",0,0,0,0,0,0,0
"Also kann der Herr  Prokurist schon zu dir hinein,",0,0,0,0,0,0,0
"fragte der ungeduldige Vater,",0,0,1,3,1,3,3
"und klopfte wiederum an die Tür,",0,0,1,3,1,4,4
"Nein,",0,0,0,0,0,0,0
"sagte Gregor,",0,0,1,3,1,3,3
"Im Nebenzimmer links trat eine peinliche Stille ein,",0,0,1,S,1,6,6
"im Nebenzimmer rechts begann die  Schwester zu schluchzen,",0,0,1,3,1,2,3
"Warum ging denn die Schwester nicht zu den anderen,",0,0,0,0,0,0,0
"Sie war wohl erst jetzt aus dem Bett aufgestanden,",0,0,0,0,0,0,0
"und hatte noch gar nicht angefangen sich anzuziehen,",0,0,0,0,0,0,0
"Und warum  weinte sie denn,",0,0,1,3,0,0,0
"Weil er nicht aufstand,",0,0,0,0,0,0,0
"und den Prokuristen nicht hereinließ,",0,0,0,0,0,0,0
"weil er in Gefahr war, den  Posten zu verlieren,",0,0,0,0,0,0,0
"und weil dann der Chef die Eltern mit den alten Forderungen wieder verfolgen würde,",0,0,0,0,0,0,0
"Das waren doch vorläufig wohl unnötige Sorgen,",0,0,0,0,0,0,0
"Noch war Gregor hier,",0,0,0,0,0,0,0
"und dachte nicht im geringsten daran,  seine Familie zu verlassen,",0,0,0,0,0,0,0
"Augenblicklich lag er wohl da auf dem Teppich,",0,0,0,0,0,0,0
"und niemand hätte im Ernst von ihm verlangt,",0,0,0,0,0,0,0
"der seinen Zustand  gekannt hätte,",0,0,0,0,0,0,0
"daß er den Prokuristen hereinlasse,",0,0,0,0,0,0,0
"Aber wegen dieser  kleinen Unhöflichkeit konnte Gregor  doch nicht gut sofort weggeschickt werden,",0,0,0,0,0,0,0
"für die sich ja später leicht eine passende Ausrede finden würde,",0,0,0,0,0,0,0
"Und Gregor schien es,",0,0,0,0,0,0,0
"daß es viel vernünftiger wäre, ihn jetzt  in Ruhe zu lassen, statt ihn mit Weinen und Zureden zu stören,",0,0,0,0,0,0,0
"Aber es war eben die Ungewißheit,",0,0,0,0,0,0,0
"welche  die anderen bedrängte,",0,0,0,0,0,0,0
"und ihr Benehmen entschuldigte,",0,0,0,0,0,0,0
"Herr Samsa,",0,0,0,0,0,0,0
"rief nun der Prokurist mit erhobener Stimme,",0,0,1,4,1,4,4
"was ist denn los,",0,0,0,0,0,0,0
"Sie verbarrikadieren sich da  in Ihrem Zimmer,",0,0,0,0,0,0,0
"antworten bloß mit ja und nein,",0,0,1,3,0,3,3
"machen Ihren Eltern schwere, unnötige Sorgen,",0,0,0,0,0,0,0
"und  versäumen Ihre geschäftliche Pflichten in einer eigentlich unerhörten Weise,",0,0,0,0,0,0,0
"dies nur nebenbei erwähnt,",0,0,0,0,0,0,0
"Ich spreche hier im Namen Ihrer Eltern und Ihres Chefs,",0,0,1,3,1,3,3
"und bitte Sie ganz ernsthaft um eine  augenblickliche, deutliche Erklärung,",0,0,1,3,1,3,0
"Ich staune,",0,0,0,0,0,0,0
"ich staune,",0,0,0,0,0,0,0
"Ich glaubte Sie als einen ruhigen,  vernünftigen Menschen zu kennen,",0,0,0,0,0,0,0
"und nun scheinen Sie plötzlich anfangen zu wollen, mit sonderbaren Launen  zu paradieren,",0,0,0,0,0,0,0
"Der Chef deutete mir zwar heute früh eine mögliche Erklärung für Ihre Versäumnisse an,",0,0,1,3,1,3,0
"sie betraf das Ihnen seit kurzem anvertraute Inkasso,",0,0,0,0,0,0,0
"aber ich legte wahrhaftig fast mein Ehrenwort  dafür ein,",0,0,1,3,0,0,0
"daß diese Erklärung nicht zutreffen könne,",0,0,0,0,0,0,0
"Nun aber sehe ich hier Ihren unbegreiflichen  Starrsinn,",0,0,0,0,0,0,0
"und verliere ganz und gar jede Lust, mich auch nur im geringsten für Sie einzusetzen,",0,0,0,0,0,0,0
"Und Ihre  Stellung ist durchaus nicht die festeste,",0,0,0,0,0,0,0
"Ich hatte ursprünglich die Absicht, Ihnen das alles unter vier  Augen zu sagen,",0,0,0,0,0,0,0
"aber da Sie mich hier nutzlos meine Zeit versäumen lassen,",0,0,0,0,0,0,0
"weiß ich nicht,",0,0,0,0,0,0,0
"warum es nicht  auch Ihr Herren Eltern erfahren sollen,",0,0,0,0,0,0,0
"Ihre Leistungen in der letzten Zeit waren also sehr unbefriedigend,",0,0,0,0,0,0,0
"es ist zwar nicht die Jahreszeit, um besondere Geschäfte zu machen,",0,0,0,0,0,0,0
"das erkennen  wir an,",0,0,0,0,0,0,0
"aber eine Jahreszeit, um keine Geschäfte zu machen, gibt es überhaupt nicht, Herr Samsa,",0,0,0,0,0,0,0
"darf es  nicht geben,",0,0,0,0,0,0,0
"Aber Herr Prokurist,",0,0,0,0,0,0,0
"rief Gregor außer sich,",0,0,1,4,1,4,4
"und vergaß in der Aufregung alles andere,",0,0,0,0,0,0,0
"ich mache ja  sofort, augenblicklich auf,",0,0,0,0,0,0,0
"Ein leichtes Unwohlsein, ein Schwindelanfall, haben mich verhindert aufzustehen,",0,0,0,0,0,0,0
"Ich liege noch jetzt im Bett,",0,0,0,0,0,0,0
"Jetzt bin ich aber schon wieder ganz frisch,",0,0,0,0,0,0,0
"Eben steige ich aus dem Bett,",0,0,0,0,0,0,0
"Nur einen kleinen Augenblick Geduld,",0,0,0,0,0,0,0
"Es geht noch nicht so gut,",0,0,0,0,0,0,0
"wie ich dachte,",0,0,0,0,0,0,0
"Es ist mir aber schon wohl,",0,0,0,0,0,0,0
"Wie das nur einen Menschen so überfallen kann,",0,0,0,0,0,0,0
"Noch gestern abend war mir ganz gut,",0,0,0,0,0,0,0
"meine Eltern wissen es  ja,",0,0,0,0,0,0,0
"oder besser,",0,0,0,0,0,0,0
"schon gestern abend hatte ich eine kleine Vorahnung,",0,0,0,0,0,0,0
"Man hätte es mir ansehen müssen,",0,0,0,0,0,0,0
"Warum habe  ich es nur im Geschäfte nicht gemeldet,",0,0,0,0,0,0,0
"Aber man denkt eben immer,",0,0,0,0,0,0,0
"daß man die Krankheit ohne Zuhausebleiben  überstehen wird,",0,0,0,0,0,0,0
"Herr Prokurist,",0,0,0,0,0,0,0
"Schonen Sie meine Eltern,",0,0,0,0,0,0,0
"Für alle die Vorwürfe ist ja kein Grund,",0,0,0,0,1,3,0
"die Sie mir jetzt machen,",0,0,0,0,0,0,0
"man hat mir ja davon auch kein Wort gesagt,",0,0,0,0,0,0,0
"Sie haben vielleicht die letzten Aufträge nicht gelesen,",0,0,0,0,0,0,0
"die  ich geschickt habe,",0,0,0,0,0,0,0
"Übrigens,",0,0,0,0,0,0,0
"noch mit dem Achtuhrzug fahre ich auf die Reise,",0,0,0,0,0,0,0
"die paar  Stunden Ruhe haben mich gekräftigt,",0,0,0,0,0,0,0
"Halten Sie sich nur nicht auf, Herr Prokurist,",0,0,0,0,0,0,0
"ich bin gleich selbst im  Geschäft,",0,0,0,0,0,0,0
"und haben Sie die Güte, das zu sagen und mich dem Herrn Chef zu empfehlen,",0,0,0,0,0,0,0
"Und während Gregor dies alles hastig ausstieß,",0,0,0,0,1,3,0
"und kaum wußte,",0,0,1,3,0,0,0
"was er sprach,",0,0,1,3,1,3,3
"hatte er sich leicht, wohl  infolge der im Bett bereits erlangten Übung, dem Kasten genähert,",0,0,0,0,0,0,0
"und versuchte nun, an ihm sich  aufzurichten,",0,0,0,0,0,0,0
"Er wollte tatsächlich die Tür aufmachen,",0,0,0,0,0,0,0
"tatsächlich sich sehen lassen,",0,0,0,0,0,0,0
"und mit dem  Prokuristen sprechen,",0,0,0,0,0,0,0
"er war begierig zu erfahren,",0,0,0,0,0,0,0
"was die anderen bei  seinem Anblick sagen würden,",0,0,0,0,0,0,0
"die jetzt so nach ihm verlangten,",0,0,1,3,0,0,0
"Würden sie erschrecken,",0,0,0,0,0,0,0
"dann hatte Gregor keine Verantwortung mehr,",0,0,0,0,0,0,0
"und konnte  ruhig sein,",0,0,0,0,0,0,0
"Würden sie aber alles ruhig hinnehmen,",0,0,0,0,0,0,0
"dann hatte auch er keinen Grund sich aufzuregen,",0,0,0,0,0,0,0
"und  konnte um acht Uhr tatsächlich auf dem Bahnhof sein,",0,0,0,0,0,0,0
"wenn er sich beeilte,",0,0,0,0,0,0,0
"Zuerst glitt er nun einige  Male von dem glatten Kasten ab,",0,0,0,0,0,0,0
"aber endlich gab er sich einen letzten Schwung,",0,0,0,0,0,0,0
"und stand aufrecht da,",0,0,0,0,0,0,0
"auf die Schmerzen im Unterleib achtete er gar nicht mehr,",0,0,0,0,0,0,0
"so sehr sie auch brannten,",0,0,0,0,0,0,0
"Nun ließ er sich gegen die Rückenlehne eines nahen Stuhles fallen,",0,0,0,0,0,0,0
"an deren Rändern er sich mit  seinen Beinchen festhielt,",0,0,0,0,0,0,0
"Damit hatte er aber auch die Herrschaft über sich erlangt,",0,0,0,0,0,0,0
"und verstummte,",0,0,1,S,1,6,6
"denn  nun konnte er den Prokuristen anhören,",0,0,0,0,0,0,0
"Haben Sie auch nur ein Wort verstanden,",0,0,0,0,0,0,0
"fragte der Prokurist die Eltern,",0,0,1,3,1,3,3
"er macht sich doch wohl nicht  einen Narren aus uns,",0,0,0,0,0,0,0
"Um Gottes willen,",0,0,0,0,0,0,0
"rief die Mutter schon unter Weinen,",0,0,1,4,1,4,4
"er ist vielleicht schwer  krank,",0,0,0,0,0,0,0
"und wir quälen ihn,",0,0,0,0,0,0,0
"Grete,",0,0,0,0,0,0,0
"Grete,",0,0,0,0,0,0,0
"schrie sie dann,",0,0,1,4,1,4,4
"Mutter,",0,0,0,0,0,0,0
"rief die Schwester von der anderen  Seite,",0,0,1,4,1,4,4
"Sie verständigten sich durch Gregors Zimmer,",0,0,1,4,1,4,3
"Du mußt augenblicklich zum Arzt,",0,0,0,0,0,0,0
"Gregor ist krank,",0,0,0,0,0,0,0
"Rasch um den Arzt,",0,0,0,0,0,0,0
"Hast du Gregor jetzt reden hören,",0,0,0,0,0,0,0
"Das war eine Tierstimme,",0,0,0,0,0,0,0
"sagte der Prokurist,  auffallend leise gegenüber dem Schreien der Mutter,",0,0,1,2,1,3,3
"Anna,",0,0,0,0,0,0,0
"Anna,",0,0,0,0,0,0,0
"rief der Vater durch das Vorzimmer in  die Küche,",0,0,1,4,1,4,4
"und klatschte in die Hände,",0,0,1,4,1,4,4
"sofort einen Schlosser holen,",0,0,0,0,0,0,0
"Und schon liefen die zwei Mädchen  mit rauschenden Röcken durch das Vorzimmer,",0,0,0,0,1,3,3
"wie hatte sich die Schwester denn so schnell angezogen,",0,0,0,0,0,0,0
"und  rissen die Wohnungstüre auf,",0,0,0,0,1,3,0
"Man hörte gar nicht die Türe zuschlagen,",0,0,0,0,0,0,4
"sie hatten sie wohl offen gelassen,",0,0,0,0,0,0,0
"wie es in Wohnungen zu sein pflegt,",0,0,0,0,0,0,0
"in denen ein großes Unglück geschehen ist,",0,0,0,0,0,0,0
"Gregor war aber viel ruhiger geworden,",0,0,1,1,1,1,1
"Man verstand zwar also seine Worte nicht mehr,",0,0,0,0,0,0,0
"trotzdem sie ihm  genug klar, klarer als früher, vorgekommen waren,",0,0,0,0,0,0,0
"vielleicht infolge der Gewöhnung des Ohres,",0,0,0,0,0,0,0
"Aber  immerhin glaubte man nun schon daran,",0,0,0,0,0,0,0
"daß es mit ihm nicht ganz in Ordnung war,",0,0,0,0,0,0,0
"und war bereit, ihm zu  helfen,",0,0,0,0,0,0,0
"Die Zuversicht und Sicherheit taten  ihm wohl,",0,0,0,0,0,0,0
"mit welchen die ersten Anordnungen getroffen worden waren,",0,0,0,0,1,3,0
"Er fühlte sich wieder einbezogen in den menschlichen Kreis,",0,0,0,0,0,0,0
"und erhoffte von beiden, vom Arzt und  vom Schlosser, ohne sie eigentlich genau zu scheiden, großartige und überraschende Leistungen,",0,0,0,0,0,0,0
"Um für die  sich nähernden entscheidenden Besprechungen eine möglichst klare Stimme zu bekommen, hustete er ein wenig  ab,",0,0,1,3,1,3,3
"allerdings bemüht, dies ganz gedämpft zu tun,",0,0,1,3,0,0,0
"da möglicherweise auch schon dieses Geräusch anders als  menschlicher Husten klang,",0,0,1,3,0,0,3.3
"was er selbst zu entscheiden sich nicht mehr getraute,",0,0,0,0,0,0,0
"Im Nebenzimmer war es inzwischen ganz still geworden,",0,0,1,S,1,6,6
"Vielleicht saßen die Eltern mit dem  Prokuristen beim Tisch,",0,0,0,0,0,0,0
"und tuschelten,",0,0,0,0,1,0,2
"vielleicht lehnten alle an der Türe,",0,0,0,0,0,0,0
"und horchten,",0,0,0,0,0,0,0
"Gregor schob sich langsam mit dem Sessel zur Tür hin,",0,0,0,0,0,0,0
"ließ ihn dort los,",0,0,0,0,0,0,0
"warf sich gegen die Tür,",0,0,0,0,0,0,0
"hielt  sich an ihr aufrecht,",0,0,0,0,0,0,0
"die Ballen seiner Beinchen hatten ein wenig Klebstoff,",0,0,0,0,0,0,0
"und ruhte sich dort einen  Augenblick lang von der Anstrengung aus,",0,0,0,0,0,0,0
"Dann aber machte er sich daran, mit dem Mund den Schlüssel im  Schloß umzudrehen,",0,0,0,0,0,0,0
"Es schien leider,",0,0,0,0,0,0,0
"daß er keine eigentlichen Zähne hatte,",0,0,0,0,0,0,0
"womit sollte er gleich den  Schlüssel fassen,",0,0,0,0,0,0,0
"aber dafür waren die Kiefer freilich sehr stark,",0,0,0,0,0,0,0
"mit ihrer Hilfe brachte er auch  wirklich den Schlüssel in Bewegung,",0,0,0,0,0,0,0
"und achtete nicht darauf,",0,0,0,0,0,0,0
"daß er sich zweifellos irgendeinen Schaden  zufügte,",0,0,0,0,0,0,0
"denn eine braune Flüssigkeit kam ihm aus dem Mund,",0,0,0,0,0,0,0
"floß über den Schlüssel,",0,0,0,0,0,0,0
"und tropfte auf den  Boden,",0,0,0,0,0,0,0
"Hören Sie nur,",0,0,0,0,0,0,0
"sagte der Prokurist im Nebenzimmer,",0,0,1,3,1,3,3
"er dreht den Schlüssel um,",0,0,0,0,1,2,0
"Das war für  Gregor eine große Aufmunterung,",0,0,0,0,0,0,0
"aber alle hätten ihm zurufen sollen, auch der Vater und die Mutter,",0,0,0,0,0,0,0
"Frisch, Gregor,",0,0,0,0,0,0,0
"hätten sie rufen sollen,",0,0,0,0,0,0,0
"immer nur heran,",0,0,0,0,0,0,0
"fest an das Schloß heran,",0,0,0,0,0,0,0
"Und in der  Vorstellung verbiß er sich mit allem besinnungslos in den Schlüssel,",0,0,0,0,0,0,0
"daß alle seine Bemühungen mit Spannung verfolgten,",0,0,0,0,0,0,0
"was er an Kraft  aufbringen konnte,",0,0,0,0,0,0,0
"Je nach dem Fortschreiten der  Drehung des Schlüssels umtanzte er das Schloß,",0,0,0,0,0,0,0
"hielt sich jetzt  nur noch mit dem Munde aufrecht,",0,0,0,0,0,0,0
"und je nach Bedarf hing er sich  an den Schlüssel,",0,0,0,0,0,0,0
"oder drückte ihn dann wieder nieder mit der  ganzen Last seines Körpers,",0,0,0,0,0,0,0
"Der hellere Klang  des endlich zurückschnappenden Schlosses erweckte Gregor förmlich,",0,0,1,2,1,2,3
"Aufatmend  sagte er sich,",0,0,0,0,1,1,0
"Ich habe also den Schlosser nicht gebraucht,",0,0,0,0,0,0,0
"und  legte den Kopf auf die Klinke, um die Türe gänzlich zu öffnen,",0,0,0,0,0,0,0
"Da er die Türe auf diese Weise öffnen mußte,",0,0,0,0,0,0,0
"war sie eigentlich  schon recht weit geöffnet,",0,0,0,0,0,0,0
"und er selbst noch nicht zu sehen,",0,0,0,0,0,0,0
"Er  mußte sich erst langsam um den einen Türflügel herumdrehen,",0,0,0,0,0,0,0
"und  zwar sehr vorsichtig,",0,0,0,0,0,0,0
"wenn er nicht gerade vor dem Eintritt ins  Zimmer plump auf den Rücken fallen wollte,",0,0,0,0,0,0,0
"Er war noch mit jener  schwierigen Bewegung beschäftigt,",0,0,0,0,0,0,0
"und hatte nicht Zeit, auf anderes  zu achten,",0,0,0,0,0,0,0
"da hörte er schon den Prokuristen ein lautes »Oh!«  ausstoßen,",0,0,1,4,1,4,4
"es klang,",0,0,1,4,1,3,4
"wie wenn der Wind saust,",0,0,1,4,1,3,4
"und nun sah er ihn auch,",0,0,0,0,0,0,0
"wie  er die Hand gegen den offenen  Mund drückte,",0,0,0,0,0,0,0
"der der Nächste an der Türe war,",0,0,0,0,0,0,0
"und langsam zurückwich,",0,0,0,0,0,0,0
"als vertreibe ihn eine  unsichtbare, gleichmäßig fortwirkende Kraft,",0,0,0,0,0,0,0
"Die Mutter sah zuerst  mit gefalteten Händen den Vater an,",0,0,0,0,0,0,0
"sie  stand hier trotz der Anwesenheit des Prokuristen mit von der Nacht  her noch aufgelösten, hoch sich sträubenden Haaren,",0,0,0,0,0,0,0
"ging dann zwei Schritte zu  Gregor hin,",0,0,0,0,0,0,0
"und fiel inmitten ihrer rings um sie herum sich  ausbreitenden Röcke nieder, das Gesicht ganz unauffindbar zu ihrer  Brust gesenkt,",0,0,0,0,0,0,0
"Der Vater ballte mit feindseligem Ausdruck die  Faust,",0,0,0,0,0,0,0
"als wolle er Gregor in sein Zimmer zurückstoßen,",0,0,0,0,0,0,0
"sah sich  dann unsicher im Wohnzimmer um,",0,0,0,0,0,0,0
"beschattete dann mit den Händen  die Augen,",0,0,0,0,0,0,0
"und weinte,",0,0,1,3,1,3,3
"daß sich seine mächtige Brust schüttelte,",0,0,0,0,0,0,0
"Gregor trat nun gar nicht in das Zimmer,",0,0,0,0,0,0,0
"sondern lehnte sich von  innen an den festgeriegelten Türflügel,",0,0,0,0,0,0,0
"so daß sein Leib nur zur  Hälfte und darüber der seitlich geneigte Kopf zu sehen war,",0,0,0,0,0,0,0
"mit  dem er zu den anderen hinüberlugte,",0,0,0,0,0,0,0
"Es war inzwischen viel heller geworden,",0,0,0,0,0,0,0
"klar stand auf der anderen Straßenseite ein Ausschnitt  des gegenüberliegenden, endlosen, grauschwarzen Hauses mit seinen hart die Front durchbrechenden  regelmäßigen Fenstern,",0,0,0,0,0,0,0
"es war  ein Krankenhaus,",0,0,0,0,0,0,0
"der Regen fiel noch nieder, aber nur mit großen,  einzeln sichtbaren und förmlich auch einzelnweise auf die Erde hinuntergeworfenen Tropfen,",0,0,0,0,1,2,0
"Das Frühstücksgeschirr stand in  überreicher Zahl auf dem Tisch,",0,0,0,0,0,0,0
"denn für den Vater war das  Frühstück die wichtigste Mahlzeit des Tages,",0,0,0,0,0,0,0
"die er bei der  Lektüre verschiedener Zeitungen stundenlang hinzog,",0,0,0,0,0,0,0
"Gerade an der  gegenüberliegenden Wand hing eine Photographie Gregors aus seiner  Militärzeit,",0,0,0,0,0,0,0
"die ihn als Leutnant darstellte,",0,0,0,0,0,0,0
"wie er, die Hand am  Degen, sorglos lächelnd, Respekt für seine Haltung und Uniform verlangte,",0,0,0,0,0,0,0
"Die Tür zum Vorzimmer war  geöffnet,",0,0,0,0,0,0,0
"und man sah auf den Vorplatz der Wohnung hinaus,",0,0,0,0,0,0,0
"da auch die Wohnungstür offen war,",0,0,0,0,0,0,0
"und auf den  Beginn der abwärts führenden Treppe,",0,0,0,0,0,0,0
"Nun,",0,0,0,0,0,0,0
"sagte Gregor,",0,0,1,3,1,3,3
"und war sich dessen wohl bewußt,",0,0,0,0,0,0,0
"daß er der einzige war,",0,0,0,0,0,0,0
"der die Ruhe bewahrt hatte,",0,0,0,0,1,2,0
"ich werde mich gleich anziehen,",0,0,0,0,0,0,0
"die Kollektion zusammenpacken,",0,0,0,0,0,0,0
"und wegfahren,",0,0,0,0,0,0,0
"Wollt Ihr,",0,0,0,0,0,0,0
"wollt Ihr mich wegfahren lassen,",0,0,0,0,0,0,0
"Nun, Herr Prokurist,",0,0,0,0,0,0,0
"Sie sehen,",0,0,0,0,0,0,0
"ich bin nicht starrköpfig,",0,0,0,0,0,0,0
"und ich  arbeite gern,",0,0,0,0,0,0,0
"das Reisen ist beschwerlich,",0,0,0,0,0,0,0
"aber ich könnte ohne das Reisen nicht leben,",0,0,0,0,0,0,0
"Wohin gehen Sie  denn, Herr Prokurist,",0,0,0,0,0,0,0
"Ins Geschäft,",0,0,0,0,0,0,0
"Ja,",0,0,0,0,0,0,0
"Werden Sie alles wahrheitsgetreu berichten,",0,0,0,0,0,0,0
"Man kann im Augenblick unfähig  sein zu arbeiten,",0,0,0,0,0,0,0
"aber dann ist gerade der richtige Zeitpunkt, sich an die früheren Leistungen zu  erinnern und zu bedenken,",0,0,0,0,0,0,0
"daß man später, nach Beseitigung des Hindernisses, gewiß desto fleißiger und gesammelter  arbeiten wird,",0,0,0,0,0,0,0
"Ich bin ja dem Herrn Chef so sehr verpflichtet,",0,0,0,0,0,0,0
"das wissen Sie doch recht gut,",0,0,0,0,0,0,0
"Andererseits habe ich die Sorge um meine Eltern und die Schwester,",0,0,0,0,0,0,0
"Ich bin in der Klemme,",0,0,0,0,0,0,0
"ich werde mich  aber auch wieder herausarbeiten,",0,0,0,0,0,0,0
"Machen Sie es mir aber nicht schwieriger,",0,0,0,0,0,0,0
"als es schon ist,",0,0,0,0,0,0,0
"Halten Sie im  Geschäft meine Partei,",0,0,0,0,0,0,0
"Man liebt den Reisenden nicht,",0,0,0,0,0,0,0
"ich weiß,",0,0,0,0,0,0,0
"Man denkt,",0,0,0,0,0,0,0
"er verdient ein Heidengeld,",0,0,0,0,0,0,0
"und  führt dabei ein schönes Leben,",0,0,0,0,0,0,0
"Man hat eben keine besondere Veranlassung, dieses Vorurteil besser zu  durchdenken,",0,0,0,0,0,0,0
"Sie aber, Herr Prokurist,",0,0,0,0,0,0,0
"Sie haben einen besseren Überblick über die Verhältnisse als das  sonstige Personal,",0,0,0,0,0,0,0
"ja sogar, ganz im Vertrauen gesagt, einen besseren Überblick als der Herr Chef selbst,",0,0,0,0,1,3,0
"der in seiner Eigenschaft als Unternehmer sich in seinem Urteil leicht zu Ungunsten eines Angestellten  beirren läßt,",0,0,0,0,0,0,0
"Sie wissen auch sehr wohl,",0,0,0,0,0,0,0
"daß der Reisende so leicht ein Opfer von Klatschereien, Zufälligkeiten und grundlosen Beschwerden werden kann,",0,0,0,0,0,0,0
"der fast das ganze Jahr außerhalb des Geschäfts  ist,",0,0,0,0,0,0,0
"gegen die  sich zu wehren ihm ganz unmöglich ist,",0,0,0,0,0,0,0
"da er von ihnen meistens gar nichts erfährt,",0,0,0,0,0,0,0
"und nur dann zu Hause die schlimmen, auf ihre Ursachen hin nicht mehr zu  durchschauenden Folgen am eigenen Leibe zu spüren bekommt,",0,0,0,0,0,0,0
"wenn er  erschöpft eine Reise beendet hat,",0,0,0,0,0,0,0
"Herr Prokurist, gehen Sie nicht weg, ohne mir ein  Wort gesagt zu haben,",0,0,0,0,0,0,0
"das mir zeigt,",0,0,0,0,0,0,0
"daß Sie mir wenigstens zu einem kleinen Teil recht geben,",0,0,0,0,0,0,0
"Aber der Prokurist hatte sich schon bei den ersten Worten Gregors abgewendet,",0,0,0,0,0,0,3
"und nur über die zuckende  Schulter hinweg sah er mit aufgeworfenen Lippen nach Gregor zurück,",0,0,0,0,0,0,0
"Und während Gregors Rede stand er keinen  Augenblick still,",0,0,0,0,0,0,3
"sondern verzog sich, ohne Gregor aus den Augen zu lassen, gegen die Tür,",0,0,0,0,0,0,0
"aber ganz  allmählich,",0,0,0,0,0,0,0
"als bestehe ein geheimes Verbot, das Zimmer zu verlassen,",0,0,0,0,0,0,0
"Schon war er im Vorzimmer,",0,0,0,0,0,0,0
"und nach der  plötzlichen Bewegung hätte man glauben können,",0,0,0,0,0,0,0
"mit der er zum letztenmal den Fuß aus dem Wohnzimmer zog,",0,0,0,0,0,0,0
"er  habe sich soeben die Sohle verbrannt,",0,0,0,0,0,0,0
"Im Vorzimmer aber streckte er die rechte Hand weit von sich zur  Treppe hin,",0,0,0,0,0,0,0
"als warte dort auf ihn eine geradezu überirdische Erlösung,",0,0,0,0,0,0,0
"Gregor sah ein,",0,0,0,0,0,0,0
"daß er den Prokuristen in dieser Stimmung auf keinen Fall weggehen lassen dürfe,",0,0,0,0,0,0,0
"wenn  dadurch seine Stellung im Geschäft nicht aufs äußerste gefährdet werden sollte,",0,0,0,0,0,0,0
"Die Eltern verstanden das  alles nicht so gut,",0,0,0,0,0,0,0
"sie hatten sich in den langen Jahren die Überzeugung gebildet,",0,0,0,0,0,0,0
"daß Gregor in diesem  Geschäft für sein Leben versorgt war,",0,0,0,0,0,0,0
"und hatten außerdem jetzt mit den augenblicklichen Sorgen so viel zu  tun,",0,0,0,0,0,0,0
"daß ihnen jede Voraussicht abhanden gekommen war,",0,0,0,0,0,0,0
"Aber Gregor hatte diese Voraussicht,",0,0,0,0,0,0,0
"Der Prokurist  mußte gehalten, beruhigt, überzeugt und schließlich gewonnen werden,",0,0,0,0,0,0,0
"die Zukunft Gregors und seiner Familie  hing doch davon ab,",0,0,0,0,0,0,0
"Wäre doch die Schwester hier gewesen,",0,0,0,0,0,0,0
"Sie war klug,",0,0,0,0,0,0,0
"sie hatte schon geweint,",0,0,1,3,1,2,3
"als Gregor  noch ruhig auf dem Rücken lag,",0,0,1,S,1,1,1
"Und gewiß hätte der Prokurist, dieser Damenfreund, sich von ihr lenken  lassen,",0,0,0,0,0,0,0
"sie hätte die Wohnungstür zugemacht,",0,0,0,0,0,0,0
"und ihm im Vorzimmer den Schrecken ausgeredet,",0,0,0,0,0,0,0
"Aber die  Schwester war eben nicht da,",0,0,0,0,0,0,0
"Gregor selbst mußte handeln,",0,0,0,0,0,0,0
"Und ohne daran zu denken ohne auch daran zu denken verließ er den Türflügel,",0,0,0,0,0,0,0
"daß er seine  gegenwärtigen Fähigkeiten, sich zu bewegen, noch gar nicht kannte,",0,0,0,0,0,0,0
"daß seine Rede  möglicher- ja wahrscheinlicherweise wieder nicht verstanden worden war,",0,0,0,0,0,0,0
"schob  sich durch die Öffnung,",0,0,0,0,0,0,0
"wollte zum Prokuristen hingehen,",0,0,0,0,0,0,0
"der sich schon am Geländer des Vorplatzes  lächerlicherweise mit beiden Händen festhielt,",0,0,0,0,0,0,0
"fiel aber sofort, nach einem Halt suchend, mit einem kleinen  Schrei auf seine vielen Beinchen nieder,",0,0,1,4,1,4,0
"Kaum war das geschehen,",0,0,0,0,0,0,0
"fühlte er zum erstenmal an diesem Morgen  ein körperliches Wohlbehagen,",0,0,0,0,0,0,0
"die Beinchen hatten festen Boden unter sich,",0,0,0,0,0,0,0
"sie gehorchten vollkommen,",0,0,0,0,0,0,0
"wie er  zu seiner Freude merkte,",0,0,0,0,0,0,0
"strebten sogar darnach, ihn fortzutragen,",0,0,0,0,0,0,0
"wohin er wollte,",0,0,0,0,0,0,0
"und schon glaubte er,",0,0,0,0,0,0,0
"die endgültige Besserung alles Leidens stehe unmittelbar bevor,",0,0,0,0,0,0,0
"Aber im gleichen Augenblick sprang diese mit einem Male in die Höhe, die Arme weit ausgestreckt, die  Finger gespreizt,",0,0,0,0,0,0,0
